State,Fiscal year,Fiscal quarter,Ratio
AZ,2020,3,6.710115370972686
AZ,2020,4,2.9416967179633002
AZ,2021,1,3.8981785262341964
AZ,2021,2,3.621131121912038
AZ,2021,3,5.024478318575219
AZ,2021,4,2.627856361911484
AZ,2022,1,2.284662151939489
AZ,2022,2,1.7798076162861514
AZ,2022,3,5.9464726799033345
AZ,2022,4,2.9804075041571996
AZ,2023,1,3.585402389600375
AZ,2023,2,8.079054826529871
AZ,2023,3,5.963008327339139
AZ,2023,4,2.3097168005641615
AZ,2024,1,3.954712713114504
AZ,2024,2,2.7712617550117873
AZ,2024,3,7.123274901515756
CA,2019,1,0.4469474664931445
CA,2019,2,1.0523413124743952
CA,2019,3,0.6924578535075039
CA,2019,4,0.5209984308112926
CA,2020,1,1.1051337451664993
CA,2020,2,0.8833771288929071
CA,2020,3,0.753385314823259
CA,2020,4,0.6703339078164482
CA,2021,1,0.44400849668060627
CA,2021,2,1.9854413630564747
CA,2021,3,0.7344370085947258
CA,2021,4,0.7488586711343216
CA,2022,1,0.6618279731083287
CA,2022,2,1.2631077053379367
CA,2022,3,0.607187618578678
CA,2022,4,0.678529342515442
CA,2023,1,0.8190851866556812
CA,2023,2,1.1577044994781747
CA,2023,3,0.7570728656868421
CA,2023,4,1.0012868842061473
CA,2024,1,0.7288522277144232
CA,2024,2,1.579768269259265
CA,2024,3,0.8476837290608847
CO,2019,1,0.14650950361930984
CO,2019,2,0.2607756944266559
CO,2019,3,0.17962026180787477
CO,2019,4,0.19863502366642635
CO,2020,1,0.14550152093417248
CO,2020,2,0.12094134715038889
CO,2020,3,0.43693612795023384
CO,2020,4,0.2303275775260197
CO,2021,1,0.11606242534085999
CO,2021,2,0.10230717586569142
CO,2021,3,0.1758611228705872
CO,2021,4,0.1093455678290046
CO,2022,1,0.16394459004352976
CO,2022,2,0.34835559078629547
CO,2022,3,0.16874007623190704
CO,2022,4,0.18181609491472248
CO,2023,1,0.11422998173732563
CO,2023,2,0.34096283843077485
CO,2023,3,0.247454878037186
CO,2023,4,0.49508230324594127
CO,2024,1,0.37854199396349764
CO,2024,2,0.6163512475930139
CO,2024,3,0.4255889240140623
CT,2019,1,2.7853593874547484
CT,2019,2,2.543497820269064
CT,2019,3,3.150073741761671
CT,2019,4,2.734862275437899
CT,2020,1,3.277279594363925
CT,2020,2,0.9903297017531965
CT,2020,3,4.387266986098157
CT,2020,4,3.3071032390502557
CT,2021,1,1.707807661157423
CT,2021,2,1.2653279978749865
CT,2021,3,1.656158117845285
CT,2021,4,3.720893459516589
CT,2022,1,3.871815482581305
CT,2022,2,3.2533891922084743
CT,2022,3,3.631135327155264
CT,2022,4,7.089101480996942
CT,2023,1,3.7183816342486447
CT,2023,2,5.970968328013205
CT,2023,3,2.55133716550115
CT,2023,4,1.4793972295298006
CT,2024,1,2.5581211034676494
CT,2024,2,0.9220947949340265
CT,2024,3,1.4890257490946575
DC,2019,1,56.68932794226618
DC,2019,2,21.934127610325856
DC,2019,3,46.97560627060982
DC,2019,4,42.596857755791625
DC,2020,1,31.071112644687727
DC,2020,2,23.98825229418057
DC,2020,3,18.73311886148163
DC,2020,4,26.57460054729803
DC,2021,1,17.128779663953708
DC,2021,2,6.1946663838270375
DC,2021,3,42.14126223344718
DC,2021,4,212.4196781949325
DC,2022,1,67.8830289483442
DC,2022,2,564.5800774134791
DC,2022,3,14.212824619376812
DC,2022,4,208.0027609000131
DC,2023,1,47.72525929011653
DC,2023,2,51.89341275644232
DC,2023,3,44.587086287634264
DC,2023,4,53.41490913488246
DC,2024,1,202.7233667362507
DC,2024,2,17.531775801586374
DC,2024,3,8.547801884855161
DE,2019,1,2.0194307508312757
DE,2019,2,4.197463561962503
DE,2019,3,6.892500216298832
DE,2019,4,4.575880184571125
DE,2020,1,2.036291427574173
